_id,symbol,timestamp,open,high,low,close,volume
"ObjectId(""65f589d5163e27828843a27f"")",BTCUSDT,2024-03-16T11:57:50.000Z,68299.8,68301.09,68299.8,68301.09,0.52687
"ObjectId(""65f589d5163e27828843a280"")",BTCUSDT,2024-03-16T11:57:51.000Z,68301.09,68301.1,68301.09,68301.09,0.09471
"ObjectId(""65f589d5163e27828843a281"")",BTCUSDT,2024-03-16T11:57:52.000Z,68301.1,68301.1,68301.09,68301.09,0.13667
"ObjectId(""65f589d5163e27828843a282"")",BTCUSDT,2024-03-16T11:57:53.000Z,68301.1,68301.1,68301.1,68301.1,0.08522
"ObjectId(""65f589d5163e27828843a283"")",BTCUSDT,2024-03-16T11:57:54.000Z,68301.09,68301.1,68301.09,68301.09,0.79853
"ObjectId(""65f589d5163e27828843a284"")",BTCUSDT,2024-03-16T11:57:55.000Z,68301.1,68302.39,68301.1,68302.39,0.61063
"ObjectId(""65f589d5163e27828843a285"")",BTCUSDT,2024-03-16T11:57:56.000Z,68302.38,68302.91,68302.38,68302.91,0.01831
"ObjectId(""65f589d5163e27828843a286"")",BTCUSDT,2024-03-16T11:57:57.000Z,68302.91,68306.71,68302.91,68306.71,0.22333
"ObjectId(""65f589d5163e27828843a287"")",BTCUSDT,2024-03-16T11:57:58.000Z,68306.7,68306.71,68306.7,68306.71,0.1065
"ObjectId(""65f589d5163e27828843a288"")",BTCUSDT,2024-03-16T11:57:59.000Z,68306.71,68306.71,68306.7,68306.7,0.02927
"ObjectId(""65f589d5163e27828843a289"")",BTCUSDT,2024-03-16T11:58:00.000Z,68306.71,68311.63,68306.7,68311.63,0.62309
"ObjectId(""65f589d5163e27828843a28a"")",BTCUSDT,2024-03-16T11:58:01.000Z,68311.63,68311.63,68311.63,68311.63,0.0027
"ObjectId(""65f589d5163e27828843a28b"")",BTCUSDT,2024-03-16T11:58:02.000Z,68311.63,68319.99,68311.63,68319.99,0.50792
"ObjectId(""65f589d5163e27828843a28c"")",BTCUSDT,2024-03-16T11:58:03.000Z,68319.99,68319.99,68319.99,68319.99,0.16467
"ObjectId(""65f589d5163e27828843a28d"")",BTCUSDT,2024-03-16T11:58:04.000Z,68319.99,68320,68319.99,68320,0.02119
"ObjectId(""65f589d5163e27828843a28e"")",BTCUSDT,2024-03-16T11:58:05.000Z,68320,68322.74,68320,68322.73,0.71833
